sku,store_nbr,status,n_dias,modelo_elegido,wape,wape_arima,wape_prophet,wape_xgboost,wape_lstm,demanda_diaria,stock_seguridad,punto_reorden,eoq,sugerencia_compra,tiempo_seg
BEAUTY,44,ok,579,XGBOOST,30.31,35.35,33.49,30.31,38.53,18.9,44.0,176.0,758.0,567.0,23.0
BEAUTY,49,ok,579,XGBOOST,39.21,48.68,43.75,39.21,46.94,9.18,24.0,88.0,528.0,275.0,19.6
BEVERAGES,4,ok,579,PROPHET,16.23,23.22,16.23,16.98,23.81,3152.17,3748.0,25813.0,9792.0,94565.0,19.4
BOOKS,11,ok,579,ARIMA,,,,,,0.0,0.0,0.0,0.0,0.0,19.3
CELEBRATION,1,ok,579,PROPHET,32.41,45.25,32.41,33.93,45.22,14.86,41.0,145.0,672.0,446.0,30.6
CELEBRATION,31,ok,579,ARIMA,54.78,54.78,63.03,59.87,56.32,8.72,27.0,88.0,515.0,262.0,48.7
GROCERY I,10,ok,579,XGBOOST,14.42,19.02,15.67,14.42,19.38,3025.03,2519.0,23694.0,9592.0,90751.0,46.0
GROCERY II,14,ok,579,PROPHET,74.09,91.33,74.09,90.31,95.27,3.69,40.0,66.0,335.0,111.0,43.7
HARDWARE,5,ok,579,LSTM,73.98,77.73,75.6,80.96,73.98,1.23,6.0,14.0,194.0,37.0,79.9
HARDWARE,15,ok,579,ARIMA,81.25,81.25,97.64,108.97,84.46,1.02,6.0,13.0,176.0,31.0,47.9
HARDWARE,35,ok,579,ARIMA,147.36,147.36,157.7,169.75,150.51,0.38,3.0,6.0,108.0,12.0,46.5
HARDWARE,43,ok,579,ARIMA,139.79,139.79,220.5,239.81,173.26,0.15,1.0,2.0,68.0,5.0,44.7
HOME AND KITCHEN II,24,ok,579,LSTM,33.6,38.13,97.41,34.75,33.6,47.51,63.0,395.0,1202.0,1425.0,78.5
HOME AND KITCHEN II,44,ok,579,LSTM,29.92,30.4,44.82,63.14,29.92,113.36,199.0,992.0,1857.0,3401.0,78.8
HOME APPLIANCES,11,ok,579,LSTM,105.63,106.25,107.97,110.56,105.63,0.43,3.0,6.0,114.0,13.0,81.6
HOME APPLIANCES,54,ok,579,ARIMA,104.84,104.84,121.42,150.49,120.57,0.25,2.0,4.0,88.0,8.0,45.4
LINGERIE,11,ok,579,ARIMA,36.66,36.66,39.74,39.93,38.63,10.69,19.0,94.0,570.0,321.0,47.7
LINGERIE,15,ok,579,LSTM,52.27,53.72,53.87,57.57,52.27,3.31,15.0,39.0,317.0,99.0,80.7
"LIQUOR,WINE,BEER",40,ok,579,XGBOOST,63.03,77.89,68.58,63.03,75.49,75.25,215.0,742.0,1513.0,2258.0,44.1
MAGAZINES,26,ok,579,PROPHET,100.03,102.28,100.03,105.78,102.22,0.54,3.0,7.0,128.0,16.0,46.0
MEATS,3,ok,579,PROPHET,10.85,28.91,10.85,10.85,27.36,855.63,1336.0,7325.0,5101.0,25669.0,49.8
MEATS,49,ok,579,PROPHET,10.84,25.37,10.84,11.46,24.85,891.11,1394.0,7632.0,5206.0,26733.0,36.6
PERSONAL CARE,8,ok,579,XGBOOST,18.01,27.33,36.22,18.01,26.92,339.82,470.0,2849.0,3215.0,10195.0,44.4
PERSONAL CARE,39,ok,579,XGBOOST,18.94,29.84,23.4,18.94,30.4,337.73,423.0,2787.0,3205.0,10132.0,44.4
PERSONAL CARE,40,ok,579,XGBOOST,25.66,31.67,37.21,25.66,29.39,365.5,393.0,2952.0,3334.0,10965.0,43.8
PLAYERS AND ELECTRONICS,7,ok,579,LSTM,35.39,36.04,53.79,36.66,35.39,13.38,22.0,115.0,638.0,401.0,80.2
PLAYERS AND ELECTRONICS,30,ok,579,LSTM,46.93,47.01,50.88,48.23,46.93,4.4,13.0,44.0,366.0,132.0,78.4
PLAYERS AND ELECTRONICS,52,ok,579,ARIMA,100.0,100.0,100.0,100.0,100.0,36.55,43.0,298.0,1054.0,1096.0,44.0
PRODUCE,26,ok,579,XGBOOST,15.06,31.42,20.77,15.06,29.08,555.3,970.0,4857.0,4110.0,16659.0,43.1
SCHOOL AND OFFICE SUPPLIES,47,ok,579,PROPHET,58.78,74.4,58.78,65.05,99.83,5.96,984.0,1026.0,426.0,179.0,41.1
